Symbol,Adj Close,Close,High,Low,Open,Volume
ptt.bk,40.0323371887207,43.5,44.0,43.25,44.0,58874300.0
scb.bk,90.34644317626953,99.5,99.5,97.5,98.25,16957400.0
aot.bk,69.09732818603516,69.5,70.25,68.25,68.5,66506800.0
bh.bk,127.23741149902344,136.0,139.5,135.5,136.5,1582600.0
ptt.bk,40.0323371887207,43.5,43.75,43.25,43.5,15786000.0
scb.bk,90.80389404296875,99.25,99.5,97.5,98.5,13164400.0
aot.bk,69.09732818603516,69.5,70.0,68.75,69.0,32592900.0
bh.bk,126.30184936523438,135.0,137.5,134.5,135.0,1243400.0
ptt.bk,39.802268981933594,43.25,43.75,43.0,43.5,33971300.0
scb.bk,89.66027069091797,98.0,100.0,98.0,99.75,11197600.0
aot.bk,70.0915298461914,70.5,71.5,70.25,71.5,42526500.0
bh.bk,124.89849090576172,133.5,134.5,130.0,134.0,2787400.0
ptt.bk,39.34212875366211,42.75,43.25,42.5,43.25,41357700.0
scb.bk,88.74536895751953,97.0,98.25,97.0,97.5,7653500.0
aot.bk,69.84297943115234,70.25,71.25,69.75,69.75,36925300.0
bh.bk,121.15620422363281,129.5,133.0,129.5,132.0,1576600.0
ptt.bk,39.57219696044922,43.0,43.0,42.25,42.75,48374600.0
scb.bk,90.57516479492188,99.0,99.0,97.25,97.25,7414700.0
aot.bk,70.340087890625,70.75,71.75,69.75,70.0,42736100.0
bh.bk,125.36627960205078,134.0,135.5,130.0,130.0,2420400.0
ptt.bk,39.802268981933594,43.25,43.5,42.5,43.0,53322800.0
scb.bk,89.66027069091797,98.0,99.0,97.25,99.0,11943000.0
aot.bk,72.5770492553711,73.0,73.25,70.5,71.0,45555300.0
bh.bk,123.96292114257812,132.5,134.5,132.0,133.0,1109300.0
ptt.bk,40.262413024902344,43.75,44.25,43.25,43.5,57822000.0
scb.bk,91.94751739501953,100.5,101.0,97.5,98.25,19626200.0
aot.bk,72.5770492553711,73.0,73.5,72.5,73.5,27948100.0
bh.bk,123.02735900878906,131.5,133.0,131.0,131.5,1662800.0
ptt.bk,40.0323371887207,43.5,44.25,43.25,44.0,38887000.0
scb.bk,91.94751739501953,100.5,102.0,99.75,101.5,18148800.0
aot.bk,71.08573913574219,71.5,72.75,71.0,72.5,32966400.0
bh.bk,125.83405303955078,134.5,135.5,131.0,131.0,1987000.0
ptt.bk,39.57219696044922,43.0,43.75,43.0,43.5,47458700.0
scb.bk,89.20281219482422,97.5,100.5,97.5,100.0,14949500.0
aot.bk,70.0915298461914,70.5,71.75,70.25,71.25,28902400.0
bh.bk,125.36627960205078,134.0,136.5,134.0,134.5,1029800.0
ptt.bk,39.802268981933594,43.25,43.5,43.0,43.5,40596700.0
scb.bk,92.40496826171875,101.0,103.0,97.75,98.0,24203700.0
aot.bk,70.340087890625,70.75,71.25,70.5,70.75,20896400.0
bh.bk,127.70519256591797,136.5,138.0,133.5,133.5,1188100.0
ptt.bk,39.57219696044922,43.0,43.75,43.0,43.25,30805100.0
scb.bk,91.49006652832031,100.0,101.5,99.5,101.5,12023600.0
aot.bk,70.0915298461914,70.5,71.0,70.25,71.0,18113200.0
bh.bk,123.49513244628906,132.0,136.5,131.5,135.5,2230100.0
ptt.bk,39.57219696044922,43.0,43.5,43.0,43.25,24283500.0
scb.bk,91.26134490966797,99.75,101.0,99.25,101.0,8046100.0
aot.bk,69.59442901611328,70.0,70.75,70.0,70.5,17041900.0
bh.bk,123.96292114257812,132.5,134.0,132.5,133.0,582200.0
ptt.bk,39.57219696044922,43.0,43.25,42.75,43.0,29068200.0
scb.bk,91.49006652832031,100.0,101.0,99.25,99.75,7348400.0
aot.bk,69.59442901611328,70.0,70.75,69.25,70.25,24478600.0
bh.bk,123.49513244628906,132.0,133.5,132.0,132.0,378600.0
ptt.bk,39.34212875366211,42.75,43.25,42.75,43.0,19227100.0
scb.bk,90.57516479492188,99.0,100.5,98.5,99.5,10906700.0
aot.bk,68.8487777709961,69.25,69.75,69.0,69.25,38447400.0
bh.bk,122.5595703125,131.0,132.5,129.5,131.5,1444200.0
ptt.bk,40.49248504638672,44.0,44.5,43.0,43.0,79842400.0
scb.bk,93.7773208618164,102.5,103.0,99.5,99.5,33108400.0
aot.bk,67.35746765136719,67.75,69.75,67.75,69.25,63493300.0
bh.bk,121.62400817871094,130.0,132.0,129.0,131.0,1143100.0
ptt.bk,41.18269729614258,44.75,45.0,43.5,44.5,59181300.0
scb.bk,89.4315414428711,97.75,98.75,97.5,98.0,37202000.0
aot.bk,64.12629699707031,64.5,65.0,62.25,63.75,184600300.0
bh.bk,121.62400817871094,130.0,132.0,128.5,132.0,1538900.0
ptt.bk,40.9526252746582,44.5,44.5,43.75,43.75,45151700.0
scb.bk,89.20281219482422,97.5,98.5,96.25,97.25,20489800.0
aot.bk,64.8719482421875,65.25,65.5,63.75,64.0,50594600.0
bh.bk,119.28507995605469,127.5,128.5,125.0,128.0,1746300.0
ptt.bk,39.34212875366211,42.75,44.0,42.75,43.75,79722500.0
scb.bk,85.31449127197266,93.25,96.75,93.25,96.5,19806100.0
aot.bk,62.88353729248047,63.25,64.25,63.25,63.5,57504500.0
bh.bk,113.2038803100586,121.0,125.5,119.0,122.5,2181100.0
ptt.bk,39.112060546875,42.5,43.25,42.5,42.75,68580100.0
scb.bk,85.77194213867188,93.75,94.25,92.5,93.25,14109400.0
aot.bk,64.37484741210938,64.75,65.25,62.5,63.25,69176800.0
bh.bk,109.46160125732422,117.0,122.0,115.0,121.0,3570500.0
ptt.bk,38.1917724609375,41.5,42.5,41.5,42.25,91569300.0
scb.bk,79.13890838623047,86.5,93.75,86.5,93.25,29478300.0
aot.bk,62.13788604736328,62.5,65.25,62.5,64.25,83153400.0
bh.bk,104.78375244140625,112.0,114.0,107.5,112.5,5739700.0
ptt.bk,38.421844482421875,41.75,42.25,41.0,41.5,78430600.0
scb.bk,81.42616271972656,89.0,89.75,86.5,86.5,16582500.0
aot.bk,62.386436462402344,62.75,63.0,61.25,62.5,62881300.0
bh.bk,121.62400817871094,130.0,133.0,127.0,133.0,10323900.0
ptt.bk,35.89106369018555,39.0,40.75,38.0,40.75,135415600.0
scb.bk,79.82508087158203,87.25,88.0,86.5,86.75,16656300.0
aot.bk,59.40381622314453,59.75,61.5,59.75,60.75,46169600.0
bh.bk,120.22063446044922,128.5,129.5,125.0,128.0,5188400.0
ptt.bk,36.12113571166992,39.25,40.5,39.25,39.5,131743600.0
scb.bk,78.22400665283203,85.5,88.5,84.75,88.0,30865700.0
aot.bk,60.89512634277344,61.25,62.0,59.5,60.75,47579600.0
bh.bk,122.09178924560547,130.5,133.0,126.0,130.5,4967300.0
ptt.bk,37.50156021118164,40.75,40.75,39.75,40.0,82152500.0
scb.bk,79.13890838623047,86.5,88.25,85.75,88.0,20083400.0
aot.bk,62.13788604736328,62.5,62.75,61.75,62.25,40120400.0
bh.bk,122.5595703125,131.0,132.5,129.0,132.5,2104100.0
ptt.bk,37.35968780517578,39.5,40.0,39.0,39.5,62206800.0
scb.bk,79.36763763427734,86.75,87.25,85.25,86.0,11033700.0
aot.bk,62.88353729248047,63.25,63.75,61.75,62.0,34917300.0
bh.bk,123.96292114257812,132.5,132.5,129.5,130.0,1794500.0
ptt.bk,36.88677978515625,39.0,40.0,39.0,40.0,52775600.0
scb.bk,78.68145751953125,86.0,87.5,86.0,87.5,13176300.0
aot.bk,63.87774658203125,64.25,65.0,63.25,63.5,47174200.0
bh.bk,122.5595703125,131.0,133.0,130.5,131.0,2682000.0
ptt.bk,35.46805953979492,37.5,38.5,37.5,38.5,71759400.0
scb.bk,75.02185821533203,82.0,85.25,82.0,85.25,19688900.0
aot.bk,63.1320915222168,63.5,64.0,62.75,63.5,24235600.0
bh.bk,123.96292114257812,132.5,133.5,129.5,130.0,2950100.0
ptt.bk,26.482816696166992,28.0,31.5,26.75,26.75,643782000.0
scb.bk,68.38882446289062,74.75,76.0,72.25,74.0,21712200.0
aot.bk,59.90092086791992,60.25,63.25,60.0,62.25,38558300.0
bh.bk,122.5595703125,131.0,132.5,127.5,132.0,3834600.0
ptt.bk,26.955724716186523,28.5,29.5,28.0,29.0,325595400.0
scb.bk,67.93138122558594,74.25,76.75,74.25,74.25,21066200.0
aot.bk,60.89512634277344,61.25,62.5,60.25,60.5,36199600.0
bh.bk,121.62400817871094,130.0,132.0,128.5,130.5,2257900.0
ptt.bk,27.665084838867188,29.25,30.25,28.5,29.25,273511400.0
scb.bk,67.47392272949219,73.75,75.5,73.25,74.0,13523000.0
aot.bk,60.149471282958984,60.5,62.0,60.25,60.5,36412600.0
bh.bk,121.62400817871094,130.0,131.5,127.0,128.0,3944400.0
ptt.bk,25.064096450805664,26.5,28.0,26.25,27.25,252899600.0
scb.bk,60.6121711730957,66.25,70.25,65.25,70.0,37805800.0
aot.bk,52.444374084472656,52.75,56.25,50.0,55.25,133008400.0
bh.bk,115.54279327392578,123.5,128.0,121.0,127.0,6311000.0
ptt.bk,26.482816696166992,28.0,29.5,23.600000381469727,24.200000762939453,390830800.0
